City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Fort Nelson,CA,2021-01-28 00:15:12,58.8053,-122.7002,-7.6,71,40,3.44
275,Cockburn Town,TC,2021-01-28 00:19:22,21.4612,-71.1419,80.6,57,40,10.36
276,Broadstairs,GB,2021-01-28 00:19:23,51.3591,1.4394,46.99,87,100,1.99
277,Lubango,AO,2021-01-28 00:19:23,-14.9172,13.4925,58.82,51,87,2.64
278,Goderich,CA,2021-01-28 00:19:23,43.7501,-81.7165,21.2,79,99,8.05
279,Taoudenni,ML,2021-01-28 00:10:49,22.6783,-3.9836,68.77,34,0,16.42
280,Gusinoye Ozero,RU,2021-01-28 00:19:23,51.1144,106.2614,-20.04,79,69,2.59
281,Wukari,NG,2021-01-28 00:19:24,7.85,9.7833,76.71,19,37,3.02
282,Manuk Mangkaw,PH,2021-01-28 00:19:24,4.8,119.85,80.83,82,93,13.56
283,Haines Junction,CA,2021-01-28 00:19:25,60.7522,-137.5108,-16.6,63,82,1.14
284,Petropavlovsk-Kamchatskiy,RU,2021-01-28 00:19:01,53.0452,158.6483,12.2,57,10,11.18
285,Poum,NC,2021-01-28 00:10:01,-20.2333,164.0167,80.56,74,40,6.2
286,Portland,US,2021-01-28 00:16:20,45.5234,-122.6762,45.0,76,90,10.36
287,Dondo,MZ,2021-01-28 00:19:25,-19.6094,34.7431,78.8,94,20,3.44
288,Cayenne,GF,2021-01-28 00:10:54,4.9333,-52.3333,78.8,78,75,4.61
289,Torbay,CA,2021-01-28 00:09:50,47.6666,-52.7314,28.0,80,90,6.91
290,Chapais,CA,2021-01-28 00:17:50,49.7834,-74.8492,15.8,92,90,8.05
